step,true_distance_cm,observed_distance_cm,estimated_distance_cm,target_distance_cm,control_error_cm,predicted_next_distance_cm,prediction_error_cm,action_value,servo_angle,led_intensity,reason,disturbance
27,29.43358937107237,30.218965484586484,22.513377581964377,30.0,-7.486622418035623,22.96633016135714,11.268461037263933,-3.9354511539639714,74,59,distance_too_small_increase_distance,0.18630821494367203
28,33.83434299456305,33.89043501916634,26.495347684985063,30.0,-3.504652315014937,26.810183777302182,10.924104857809201,-2.352375870451191,80,28,distance_too_small_increase_distance,0.1279054225274274
29,38.12245675474841,38.12987681418538,30.567432880205175,30.0,0.5674328802051747,30.75562294984127,11.319693036883198,-0.613763274971793,87,4,stable_near_target,0.14445641405859594
30,42.16704298127118,40.526555499471534,34.0531257969484,30.0,4.0531257969484,34.102226858946146,9.770932549630263,0.7820183357496726,93,32,distance_too_large_reduce_distance,0.15078735105275895
31,45.90342553809261,46.347668486539646,38.35621573830534,30.0,8.356215738305337,38.29365427144536,12.2454416275935,2.894486692609183,101,66,distance_too_large_reduce_distance,0.7495766603046614
32,49.13959011774108,49.456624171538365,42.241358689936895,30.0,12.241358689936895,42.00979975452816,11.162969900093003,4.617918774903907,108,97,distance_too_large_reduce_distance,-0.14224525573461544
33,51.77082542706309,50.83322722036349,45.2485126755862,30.0,15.248512675586198,44.87907917359389,8.82342746583533,5.916493566494311,113,121,distance_too_large_reduce_distance,-0.17928495517503806
34,53.73031375666867,55.26085035446563,48.752830863194,30.0,18.752830863194,48.27951137787446,10.381771180871745,7.778975792668367,121,150,distance_too_large_reduce_distance,-0.28482045488675717
35,54.941099479683466,53.96188651909129,50.57600034275805,30.0,20.57600034275805,49.953682279344584,5.682375141216831,8.483494263457013,123,164,distance_too_large_reduce_distance,0.21559279790142347
36,55.40820767613328,54.064775386759564,51.79707160815858,30.0,21.797071608158582,51.11839206708202,4.11109310741498,9.190838661931643,126,174,distance_too_large_reduce_distance,0.395140302452312
37,55.105357125368116,53.65651090943958,52.44787536360693,30.0,22.447875363606933,51.7126082706524,2.5381188423575622,9.675435517484575,128,179,distance_too_large_reduce_distance,-0.03988161017920627
38,54.034968533410904,54.05574525926775,53.010629827088216,30.0,23.010629827088216,52.23659498568945,2.343136988615349,10.23758099532028,130,184,distance_too_large_reduce_distance,-0.2940547669368848
39,52.206072241990476,52.476369242108156,52.82363862234519,30.0,22.823638622345193,52.00463214271957,0.23977425641870553,10.33645522165404,131,182,distance_too_large_reduce_distance,-0.28856842549193384
40,49.68966764702409,50.0424467757718,51.85022147604451,30.0,21.85022147604451,51.02330505831219,-1.9621853669477716,10.082359635205737,130,174,distance_too_large_reduce_distance,0.22770747573864536
41,46.55582955088495,46.28594156831256,49.902723508338326,30.0,19.902723508338326,49.096134737521865,-4.73736348999963,9.348653560685005,127,159,distance_too_large_reduce_distance,0.2601389599212048
42,42.90297303631609,42.252833018687404,47.225261836960506,30.0,17.225261836960506,46.477369552105706,-6.843301718834461,8.321906571452969,123,137,distance_too_large_reduce_distance,0.19010399390681823
43,38.82841753217326,39.5026291977797,44.52234041324722,30.0,14.522340413247221,43.856587887530985,-6.974740354326009,7.398913534178295,119,116,distance_too_large_reduce_distance,-0.232928397551043
44,34.451230653739835,33.73316234449041,40.746128089182335,30.0,10.746128089182335,40.15421500644807,-10.123425543040575,5.737972281331426,112,85,distance_too_large_reduce_distance,0.08125646307335191
45,29.923451075950197,28.95557891116633,36.619435876876736,30.0,6.619435876876736,36.16039809437022,-11.198636095281739,4.026947514903268,106,52,distance_too_large_reduce_distance,0.040840033199254874
46,25.394287317856328,26.5153398518509,33.083002268117696,30.0,3.0830022681176956,32.760846466925436,-9.645058242519323,2.7177473260264793,100,24,distance_too_large_reduce_distance,0.07654100885515452
47,20.979995240361006,21.122052446875287,28.896669830682853,30.0,-1.1033301693171467,28.679250044600735,-11.638794020050149,0.7999600074554117,93,8,stable_near_target,0.30500007228186643
48,16.814619729797478,17.191651646110262,24.799913466082447,30.0,-5.200086533917553,24.735916665486016,-11.487598398490473,-0.9789722276619461,86,41,distance_too_small_increase_distance,0.07825844207113879
49,13.031019270540112,13.531691834255714,20.85603589494309,30.0,-9.14396410505691,20.934353673156046,-11.204224831230302,-2.7389269345548986,79,73,distance_too_small_increase_distance,0.2376197470751632
50,9.732567631911209,9.275129944711756,16.802718812362123,30.0,-13.197281187637877,17.021832967126514,-11.65922372844429,-4.663356019570628,71,105,distance_too_small_increase_distance,0.02365267432111201
51,7.043135679029055,6.616845610227839,13.237663191615123,30.0,-16.762336808384877,13.610731673180773,-10.404987356898676,-6.304696910806667,64,134,distance_too_small_increase_distance,0.10119178954149445
52,5.057387259665358,5.569852606117875,10.553929486691088,30.0,-19.44607051330891,11.05830523955562,-8.040879067062898,-7.529665303093344,59,155,distance_too_small_increase_distance,0.22095087904348912
53,5.0,4.506279020897833,8.437251823663448,30.0,-21.56274817633655,9.039625047910915,-6.552026218657788,-8.617358814992793,55,172,distance_too_small_increase_distance,-0.5100045369494832
54,5.0,5.268816553155736,7.328299478985749,30.0,-22.67170052101425,8.017688184185172,-3.7708084947551797,-9.201494737535656,53,181,distance_too_small_increase_distance,-0.11188492572505546
55,5.265503718439106,5.193936076096629,6.581272287974556,30.0,-23.418727712025444,7.317391866977409,-2.8237521080885424,-9.786903539634105,50,187,distance_too_small_increase_distance,-0.16463042900247843
56,6.284194097413946,5.328776884740881,6.1428988968427705,30.0,-23.85710110315723,6.925851180013499,-1.9886149822365278,-10.260973044483345,48,190,distance_too_small_increase_distance,-0.22360724688516967
57,8.047639004022747,8.820751619168998,7.080147349656951,30.0,-22.91985265034305,7.901025193215618,1.8949004391554993,-9.90848967838842,50,183,distance_too_small_increase_distance,-0.0962997879293393
58,10.506483414386608,9.474993854544765,7.918343626367686,30.0,-22.081656373632313,8.711022800638759,1.5739686613291468,-9.909463566517156,50,176,distance_too_small_increase_distance,0.5232294589320385
59,13.570813756821739,13.757184512445557,9.961937936494941,30.0,-20.03806206350506,10.754695021816314,5.046161711806798,-9.08653731986465,53,160,distance_too_small_increase_distance,-0.3030408904926351
60,17.164508832080934,17.2180965753568,12.501593460096592,30.0,-17.498406539903407,13.228516445685763,6.463401553540486,-8.17322463108614,57,139,distance_too_small_increase_distance,0.3388974241070183
61,21.1310530015556,22.144341975390745,15.876555440449545,30.0,-14.123444559550455,16.530413410936436,8.915825529704982,-6.783824847245871,62,112,distance_too_small_increase_distance,-0.5890044200655317
62,25.35678457892196,24.461084400119177,18.881140576333916,30.0,-11.118859423666084,19.423846564113585,7.93067098918274,-5.770164887312514,66,88,distance_too_small_increase_distance,-0.11720976049502119
63,29.751176315497013,29.316618954246156,22.5335580086032,30.0,-7.466441991396799,22.995171199588203,9.89277239013257,-4.205623090425686,73,59,distance_too_small_increase_distance,0.05696357278675195
64,34.184669368544654,34.104424132699194,26.5833611520368,30.0,-3.416638847963199,26.919810999270855,11.10925293311099,-2.468530496446872,80,27,distance_too_small_increase_distance,0.20517781597574733
65,38.51774681274109,38.66242446352756,30.811033311058566,30.0,0.8110333110585657,31.008515750774315,11.742613464256703,-0.6416115065624559,87,6,stable_near_target,0.24892930292749924
66,42.61272133298476,43.307487047974966,35.1847921189793,30.0,5.184792118979303,35.2361210395043,12.298971297200652,1.305278137306717,95,41,distance_too_large_reduce_distance,0.2776715323199738
67,46.310522697062495,46.55940156081566,39.16590542362203,30.0,9.165905423622029,39.061483172637494,11.32328052131136,3.0284522958898297,102,73,distance_too_large_reduce_distance,-0.12205377528695315
68,49.499110625611976,49.51899909137994,42.7894882073373,30.0,12.7894882073373,42.54721202366611,10.457515918742445,4.663542673556262,108,102,distance_too_large_reduce_distance,-0.1618231274325985
69,52.10642856320049,52.92909879508313,46.33835191304834,30.0,16.338351913048342,45.96526849916384,10.381886771417015,6.382702511489695,115,130,distance_too_large_reduce_distance,0.3002915584400038
70,54.0172702185532,55.694121052722245,49.61287111193421,30.0,19.61287111193421,49.10225491101504,9.728852553558404,7.991837850199236,121,156,distance_too_large_reduce_distance,-0.0669565137085652
71,55.13268141935687,54.048261386072205,51.16525770788251,30.0,21.16525770788251,50.52591067986657,4.9460064750571675,8.582449913469492,124,169,distance_too_large_reduce_distance,-0.44649021316827264
72,55.46358531678167,55.458988047462256,52.66806332673542,30.0,22.66806332673542,51.98146733365786,4.933077367595686,9.54274140832776,128,181,distance_too_large_reduce_distance,-0.3966505249012182
73,54.991816213715474,55.59952813050407,53.69407600805445,30.0,23.694076008054452,52.93065669538823,3.6180607968462084,10.224183428345116,130,189,distance_too_large_reduce_distance,-0.32180830010056394
74,53.74383658661725,53.81243071135035,53.73550015420801,30.0,23.73550015420801,52.9175654799404,0.8817740159621223,10.38100459430633,131,189,distance_too_large_reduce_distance,0.1740062604188174
